date,EUR2M Curncy,EUR Curncy,EURUSDH2M BGN Curncy,EURUSDV2M BGN Curncy
6/25/2015,9.18,1.1205,13.2893,11.205
6/26/2015,9.28,1.1167,13.2787,11.52
6/29/2015,9.8,1.1236,14.0043,12.3375
6/30/2015,9.43,1.1147,13.784,12.17
7/1/2015,9.18,1.1053,13.7369,11.765
7/2/2015,9.45,1.1084,13.7079,11.815
7/3/2015,9.8,1.1114,13.6285,12.205
7/6/2015,9.61,1.1056,13.9501,12.2075
7/7/2015,9.83,1.1011,14.0386,12.41
7/8/2015,9.6,1.1077,14.0013,12.4625
7/9/2015,9.59,1.1036,14.0101,12.185
7/10/2015,9,1.1162,14.1067,11.37
7/13/2015,8.68,1.1002,14.2063,11.1425
7/14/2015,8.86,1.1009,14.1832,10.9025
7/15/2015,9.07,1.095,14.0588,10.645
7/16/2015,9.29,1.0875,14.0305,10.695
7/17/2015,9.18,1.083,13.7261,9.97
7/20/2015,9.18,1.0825,13.636,10.4875
7/21/2015,9.16,1.0935,13.6237,10.23
7/22/2015,9.09,1.0929,13.4607,10.48
7/23/2015,9.24,1.0984,13.5345,10.6175
7/24/2015,9.03,1.0984,13.4684,10.6725
7/27/2015,9.06,1.1088,13.4803,10.755
7/28/2015,8.96,1.106,13.3869,10.44
7/29/2015,8.84,1.0984,13.3469,10.0275
7/30/2015,9.55,1.0932,13.2542,10.2625
7/31/2015,9.22,1.0984,13.329,10.215
8/3/2015,8.97,1.095,13.1877,10.465
8/4/2015,9.09,1.0881,13.0271,10.4875
8/5/2015,9.19,1.0906,12.518,10.72
8/6/2015,9.67,1.0925,12.3969,10.675
8/7/2015,9.77,1.0967,12.5262,10.455
8/10/2015,9.56,1.1019,12.4176,10.145
8/11/2015,9.36,1.1042,12.441,10.3675
8/12/2015,9.51,1.1159,12.3857,10.27
8/13/2015,10.18,1.115,12.381,10.0075
8/14/2015,10.13,1.1109,12.3512,9.75
8/17/2015,9.89,1.1078,12.3092,9.89
8/18/2015,9.91,1.1024,12.2266,10.09
8/19/2015,9.9,1.112,12.2889,9.825
8/20/2015,10.22,1.1242,12.2319,9.775
8/21/2015,10.2,1.1386,12.1615,10.055
8/24/2015,10.3,1.1619,12.7724,11.305
8/25/2015,10.39,1.1517,12.9511,11.18
8/26/2015,10.24,1.1314,13.038,11.5325
8/27/2015,10.13,1.1246,12.1733,11.445
8/28/2015,10.65,1.1185,12.1529,11.3675
8/31/2015,10.6,1.1211,12.1047,11.7925
9/1/2015,10.8,1.1315,12.1421,12.065
9/2/2015,10.95,1.1227,12.1567,11.62
9/3/2015,11.26,1.1123,11.889,11.545
9/4/2015,11.05,1.1149,11.7543,11.505
9/7/2015,10.91,1.117,11.6397,11.635
9/8/2015,11.14,1.1203,11.626,11.635
9/9/2015,11.43,1.1207,11.5051,11.16
9/10/2015,11.71,1.128,11.3448,11.31
9/11/2015,11.79,1.1338,11.3199,11.2475
9/14/2015,11.85,1.1317,11.3287,11.345
9/15/2015,12.07,1.1269,11.292,11.13
9/16/2015,12.16,1.129,11.3287,10.815
9/17/2015,10.99,1.1435,11.405,10.705
9/18/2015,11.46,1.1298,11.466,10.26
9/21/2015,11.68,1.119,11.4755,10.475
9/22/2015,11.18,1.112,11.3901,10.975
9/23/2015,11.3,1.1186,11.4537,10.6025
9/24/2015,11.57,1.123,11.4393,10.54
9/25/2015,10.9,1.1195,11.535,10.6375
9/28/2015,10.48,1.1244,11.538,10.525
9/29/2015,10.47,1.1249,11.5838,10.45
9/30/2015,10.69,1.1177,11.3028,10.12
10/1/2015,10.95,1.1195,11.3056,10.15
10/2/2015,10.09,1.1216,11.6354,9.795
10/5/2015,9.89,1.1188,11.6265,9.71
10/6/2015,10.01,1.1272,11.6349,9.71
10/7/2015,9.9,1.1237,11.4011,9.43
10/8/2015,9.91,1.1276,11.4109,9.505
10/9/2015,9.88,1.1358,11.3281,9.405
10/12/2015,9.85,1.1358,11.2543,9.3325
10/13/2015,9.96,1.1379,11.1838,9.3225
10/14/2015,9.73,1.1474,11.1478,9.08
10/15/2015,10.05,1.1386,11.2345,9.73
10/16/2015,10.13,1.1348,11.2199,9.7
10/19/2015,10.1,1.1327,11.1642,9.985
10/20/2015,10.08,1.1346,11.0954,9.885
10/21/2015,10,1.1339,11.0217,9.6775
10/22/2015,10.63,1.1109,10.4748,10.46
10/23/2015,10.53,1.1018,10.3422,11.8225
10/26/2015,10.15,1.1058,10.1831,11.3825
10/27/2015,9.95,1.1051,10.0375,10.7525
10/28/2015,10.29,1.0923,10.3685,10.9825
10/29/2015,13,1.0977,10.3782,10.965
10/30/2015,12.46,1.1006,10.3486,10.8775
11/2/2015,12.36,1.1016,10.3564,11.005
11/3/2015,12.6,1.0964,10.0563,11.4325
11/4/2015,12.89,1.0866,10.0404,11.815
11/5/2015,13.72,1.0884,10.0789,11.4875
11/6/2015,13.63,1.0741,10.3133,11.37
11/9/2015,14.84,1.0752,10.294,11.465
11/10/2015,14.98,1.0724,10.1995,11.6525
11/11/2015,15.1,1.0743,10.166,11.575
11/12/2015,15.97,1.0814,10.2633,11.67
11/13/2015,15.73,1.0773,10.2563,11.5275
11/16/2015,15.77,1.0686,10.2749,11.7025
11/17/2015,15.99,1.0642,10.209,12.03
11/18/2015,16.58,1.066,10.0835,11.72
11/19/2015,17.4,1.0734,10.1205,11.85
11/20/2015,17.92,1.0646,10.1336,11.8225
11/23/2015,18.76,1.0636,10.0819,12.15
11/24/2015,18.68,1.0643,10.0189,12.06
11/25/2015,18.12,1.0624,9.9461,12.21
11/26/2015,19.01,1.061,9.87,12.12
11/27/2015,19.98,1.0593,9.7695,12.1975
11/30/2015,19.99,1.0565,9.7502,12.2725
12/1/2015,19.87,1.0633,9.7288,12.2925
12/2/2015,19.95,1.0615,9.3586,12.0625
12/3/2015,18.21,1.094,10.5793,10.835
12/4/2015,17.58,1.0881,10.6803,10.2325
12/7/2015,17.83,1.0837,10.6787,10.2875
12/8/2015,17.78,1.0892,10.6308,10.05
12/9/2015,18.3,1.1025,10.6021,10.2
12/10/2015,19.95,1.0941,10.6316,10.2
12/11/2015,20.16,1.0986,10.7053,10.17
12/14/2015,20.4,1.0992,10.7221,10.405
12/15/2015,20.85,1.0931,10.6692,10.115
12/16/2015,20.94,1.0912,10.8614,9.485
12/17/2015,20.3,1.0826,10.9024,9.7575
12/18/2015,19.74,1.0868,10.9978,9.72
12/21/2015,19.94,1.0915,11.0195,9.76
12/22/2015,20.76,1.0957,10.797,9.7375
12/23/2015,19.05,1.0912,10.6897,9.7825
12/24/2015,18.76,1.0963,10.6756,9.7925
12/25/2015,18.96,1.096,10.7435,9.8075
12/28/2015,18.56,1.0968,10.2798,9.9425
12/29/2015,16.51,1.092,10.2712,9.855
12/30/2015,16.18,1.0933,10.2027,9.7
12/31/2015,16.61,1.0862,10.1606,9.6025
1/1/2016,16.59,1.0856,10.1012,9.5825
1/4/2016,16.33,1.0831,10.193,9.85
1/5/2016,15.89,1.0748,10.1825,9.8775
1/6/2016,16.09,1.0781,9.9001,9.9725
1/7/2016,16.19,1.0932,10.1001,10.135
1/8/2016,16.6,1.0922,10.166,10.2225
1/11/2016,16.43,1.0859,10.2729,10.3275
1/12/2016,16.38,1.0858,10.1635,10.0625
1/13/2016,16.31,1.0877,10.1527,9.765
1/14/2016,17.24,1.0865,10.214,10.115
1/15/2016,17.06,1.0916,10.2912,10.3675
1/18/2016,16.67,1.0892,10.2808,10.295
1/19/2016,16.53,1.0908,10.1819,10.1425
1/20/2016,16.3,1.089,10.2173,10.31
1/21/2016,17.35,1.0874,10.5115,10.28
1/22/2016,16.95,1.0796,10.5255,10.0425
1/25/2016,16.72,1.0849,10.4614,10.13
1/26/2016,16.36,1.087,10.4837,10.075
1/27/2016,16.66,1.0893,10.5162,9.895
1/28/2016,17.2,1.094,10.5521,9.8325
1/29/2016,17.88,1.0831,10.6216,10.0275
2/1/2016,17.77,1.0888,10.5788,9.825
2/2/2016,17.53,1.0919,9.3178,9.8875
2/3/2016,17.62,1.1105,9.3661,10.6125
2/4/2016,17.78,1.1209,9.4667,10.505
2/5/2016,18.8,1.1158,9.54,10.2925
2/8/2016,18.78,1.1193,9.6732,11.28
2/9/2016,19.02,1.1293,9.807,11.405
2/10/2016,18.95,1.1292,9.8126,11.6
2/11/2016,19.72,1.1323,9.9111,11.805
2/12/2016,19.24,1.1256,9.9118,11.365
2/15/2016,18.63,1.1156,9.7144,11.1325
2/16/2016,18.9,1.1144,9.6701,11.14
2/17/2016,18.97,1.1128,9.5902,11.025
2/18/2016,18.92,1.1107,9.6244,10.8075
2/19/2016,19.6,1.113,9.6723,11.1175
2/22/2016,19.27,1.103,9.689,11.38
2/23/2016,19.24,1.102,9.7142,11.1375
2/24/2016,18.98,1.1013,9.6956,11.4425
2/25/2016,19.01,1.1018,9.7222,10.94
2/26/2016,20.03,1.0934,9.7713,11.215
2/29/2016,20.17,1.0873,9.8251,11.4975
3/1/2016,20.42,1.0868,9.8605,11.185
3/2/2016,20.61,1.0868,9.9019,10.9
3/3/2016,21.6,1.0957,9.8007,10.965
3/4/2016,21.41,1.1005,9.8743,10.8525
3/7/2016,21.06,1.1014,9.8842,10.9875
3/8/2016,20.63,1.1011,9.6563,10.955
3/9/2016,20.6,1.0999,9.5819,10.91
3/10/2016,20.8,1.1177,10.5248,10.52
3/11/2016,20.58,1.1156,10.5756,10.03
3/14/2016,20.59,1.1103,10.5712,9.5125
3/15/2016,20.53,1.1109,10.4822,9.68
3/16/2016,20.59,1.1224,10.632,9.49
3/17/2016,20.73,1.1318,10.7166,9.185
3/18/2016,20.41,1.127,10.7203,8.93
