date,spot_rate,fwd_price,interest_rate,signal,day_diff,implied_vol_diff,call_delta,put_delta,implied_vol_call,implied_vol_put,option_delta,straddle,straddle_bid,straddle_ask,option_gamma,option_vega,option_rho,option_theta,trade_signal,foreign_expo,post_hedge_delta,hedge_action,underlying_purchase,und_cost,underlying_position_cumsum,mid_price_change,underlying_PNL_USD,ref_option_price,option_price_change,option_PNL_USD,PNL,cum_PNL,option_Gamma_PnL,option_Vega_PnL,option_Theta_PnL,option_Rho_PnL,option_unhedged_delta_PnL,option_hedged_delta_PnL
2016-06-27,1.1025,1.105026,0.013746938775510918,-1,60,-1.5350000000000001,0.5095917743941658,-0.4904082256058335,11.753,11.753,-0.019183548788332283,0.042203604426663786,0.041934339651131386,0.042472868213243746,15.078661874437195,0.18130461661898922,0.08918398835602687,-0.0003460194515167457,-1,50.0,0.0,0,0.0,0.0,0.0,,,0.041934339651131386,,,,,,,,,,
2016-06-28,1.1065,1.109054,0.013849073655670896,0,59,-1.0630000000000006,0.5396331045123006,-0.46036689548770016,10.487230232020494,10.48723023202049,-0.07926620902460046,0.03754676266660703,0.0372802161024449,0.037813322099456086,16.889206300868057,0.17947905266548322,0.0940715767668841,-0.0003136602591536253,-1,50.0,-0.07926620902460046,0,0.0,0.0,0.0,0.0040000000000000036,0.0,0.03754676266660703,-0.004387576984524355,0.21937884922621775,0.21937884922621775,0.21937884922621775,-0.006031464749774889,0.13915129325507425,0.017300972575837285,-0.0004554397981465845,0.00383670975766646,
2016-06-29,1.1125,1.114949,0.013208089887639662,0,58,0.12299999999999933,0.5916288035629899,-0.4083711964370071,9.711455314280018,9.71145531428003,-0.18325760712598277,0.03533355090320275,0.0350744146371083,0.03559279003200804,17.846125081898354,0.1745199817831352,0.10272302514544392,-0.000291933434582762,-1,50.0,-0.18325760712598277,0,0.0,0.0,0.0,0.006000000000000005,0.0,0.03533355090320275,-0.002213211763404284,0.1106605881702142,0.1106605881702142,0.33003943739643193,-0.015200285670781277,0.09539311649170439,0.015683012957681267,0.003014917687033841,0.02377986270738016,0.02377986270738016
2016-06-30,1.1106,1.113048,0.013225283630470484,0,57,-0.5410000000000004,0.5807122537245297,-0.4192877462754694,9.88972578067592,9.889725780675924,-0.16142450744906034,0.035313223921073805,0.035054080294714116,0.035572431231825546,17.892090768381987,0.174511645591268,0.0977303178343213,-0.0003008030501754943,-1,50.0,-0.16142450744906034,0,0.0,0.0,0.0,-0.0019000000000000128,-0.0,0.035313223921073805,-2.032698212894174e-05,0.001016349106447087,0.001016349106447087,0.33105578650287903,-0.001610612788641348,-0.010732978879662756,0.0145966717291381,-8.830966385773904e-05,-0.01740947267696848,-0.01740947267696848
2016-07-01,1.1136,1.116042,0.01315732758620669,0,56,-0.2140000000000004,0.6064696471482552,-0.3935303528517449,9.555714695813737,9.555714695813737,-0.21293929429651032,0.034436660414803415,0.03418387709281028,0.03468957656346745,18.2892112512491,0.17025250075477075,0.1013802850920328,-0.00029125488689507817,-1,50.0,-0.21293929429651032,0,0.0,0.0,0.0,0.0029999999999998916,0.0,0.034436660414803415,-0.0008765635062703905,0.04382817531351953,0.04382817531351953,0.37488396181639855,-0.004025720422885656,0.04720540013243802,0.015040152508774714,0.0003320682902331861,0.02421367611735818,0.02421367611735818
2016-07-04,1.1154,1.117818,0.01300699300699337,0,53,0.2820000000000018,0.6275665394809892,-0.3724334605190107,9.48360093097925,9.483600930979248,-0.25513307896197845,0.033730028972622686,0.033487397464898316,0.0339728436324599,18.631299988180025,0.16343401746674574,0.09916217406553626,-0.00029458529446488974,-1,50.0,-0.25513307896197845,0,0.0,0.0,0.0,0.0018000000000000238,0.0,0.033730028972622686,-0.0007066314421807288,0.03533157210903644,0.03533157210903644,0.41021553392543497,-0.0014814261113512163,0.018217017580760508,0.014562744344753908,0.000762048124991858,0.019164536486686184,0.019164536486686184
2016-07-05,1.1076,1.110043,0.01323401950162495,0,52,-0.1670000000000016,0.5539348019757977,-0.4460651980242034,9.70775837918852,9.707758379188517,-0.10786960395159428,0.03274921847671178,0.03249955596151264,0.03299890579046861,19.352101033919936,0.16811450891660024,0.085038492939116,-0.0003095567206898229,-1,50.0,-0.10786960395159428,0,0.0,0.0,0.0,-0.007800000000000029,-0.0,0.03274921847671178,-0.0009808104959109082,0.04904052479554541,0.04904052479554541,0.4592560587209804,-0.02833820728202203,-0.023044196462811296,0.014729264723244487,-0.0011256220389072571,-0.09950190079517196,-0.09950190079517196
2016-07-06,1.11,1.112621,0.014167567567568094,0,51,-0.26200000000000045,0.5777396907743082,-0.42226030922569263,9.745964734398026,9.745964734398024,-0.15547938154861557,0.032887569968889474,0.03264232090495568,0.03313287763485952,19.22471505541215,0.16515425151702043,0.08728968997033136,-0.00031360122419935764,-1,50.0,-0.15547938154861557,0,0.0,0.0,0.0,0.0024000000000001798,0.0,0.032887569968889474,0.00013835149217769627,-0.006917574608884813,-0.006917574608884813,0.4523384841120956,-0.0027867025488848883,0.014037561494536253,0.015477836034491146,-0.003969376030701574,0.012944352474192285,0.012944352474192285
2016-07-07,1.1063,1.108896,0.014079363644581289,0,50,-0.5239999999999991,0.5413053815569546,-0.4586946184430443,9.52465056762141,9.52465056762141,-0.0826107631139103,0.03140210112116047,0.031156750235766993,0.03164746620802715,20.205828353471677,0.1652077503682263,0.08012679420005711,-0.0003096922815971621,-1,50.0,-0.0826107631139103,0,0.0,0.0,0.0,-0.0037000000000000366,-0.0,0.03140210112116047,-0.0014854688477290018,0.07427344238645009,0.07427344238645009,0.5266119264985457,-0.006579658727714938,0.021635206948729713,0.015680061209967882,0.0003849646545842608,-0.028763685586494163,-0.028763685586494163
2016-07-08,1.1051,1.107636,0.013768889693241082,0,49,-0.2519999999999989,0.5290207524857338,-0.47097924751426645,9.09954158480205,9.09954158480205,-0.05804150497146732,0.0296204275372928,0.02937713121531295,0.029863729998650744,21.446852214804604,0.16382160949936525,0.07679316690065188,-0.00029844831312443235,-1,50.0,-0.05804150497146732,0,0.0,0.0,0.0,-0.0012000000000000899,-0.0,0.0296204275372928,-0.001781673583867674,0.0890836791933837,0.0890836791933837,0.6156956056919294,-0.0007274098207250894,0.04328443059647522,0.015484614079858107,0.001243864120175764,-0.004956645786834989,-0.004956645786834989
